rank,name,nationality,team,points,rider_url
179,MIHKELS Madis,EE,EF Education - EasyPost,221.0,https://www.procyclingstats.com/rider/madis-mihkels
180,LÓPEZ Juan Pedro,ES,Lidl - Trek,218.0,https://www.procyclingstats.com/rider/juan-pedro-lopez
181,BERCKMOES Jenno,BE,Lotto,217.0,https://www.procyclingstats.com/rider/jenno-berckmoes
182,HOOLE Daan,NL,Lidl - Trek,216.0,https://www.procyclingstats.com/rider/daan-hoole
183,VERMEERSCH Gianni,BE,Alpecin - Deceuninck,215.0,https://www.procyclingstats.com/rider/gianni-vermeersch
184,BOL Cees,NL,XDS Astana Team,214.0,https://www.procyclingstats.com/rider/cees-bol
185,TILLER Rasmus,NO,Uno-X Mobility,214.0,https://www.procyclingstats.com/rider/rasmus-tiller
186,VACEK Mathias,CZ,Lidl - Trek,212.0,https://www.procyclingstats.com/rider/mathias-vacek
187,LAMPERTI Luke,US,Soudal Quick-Step,210.0,https://www.procyclingstats.com/rider/luke-lamperti
188,BISSEGGER Stefan,CH,Decathlon AG2R La Mondiale Team,209.0,https://www.procyclingstats.com/rider/stefan-bissegger
189,MAIRE Adrien,FR,Unibet Tietema Rockets,209.0,https://www.procyclingstats.com/rider/adrien-maire
190,VERNON Ethan,GB,Israel - Premier Tech,206.0,https://www.procyclingstats.com/rider/ethan-vernon
191,PARET-PEINTRE Valentin,FR,Soudal Quick-Step,204.0,https://www.procyclingstats.com/rider/valentin-paret-peintre
192,CARBONI Giovanni,IT,Unibet Tietema Rockets,203.0,https://www.procyclingstats.com/rider/giovanni-carboni
193,FIORELLI Filippo,IT,VF Group - Bardiani CSF - Faizanè,202.0,https://www.procyclingstats.com/rider/filippo-fiorelli
194,STEWART Jake,GB,Israel - Premier Tech,202.0,https://www.procyclingstats.com/rider/jake-stewart
195,LATOUR Pierre,FR,Team TotalEnergies,201.0,https://www.procyclingstats.com/rider/pierre-latour
196,DE BONDT Dries,BE,Decathlon AG2R La Mondiale Team,201.0,https://www.procyclingstats.com/rider/dries-de-bondt
197,GARCÍA CORTINA Iván,ES,Movistar Team,200.0,https://www.procyclingstats.com/rider/ivan-garcia-cortina
198,DE LIE Arnaud,BE,Lotto,200.0,https://www.procyclingstats.com/rider/arnaud-de-lie
199,MARIT Arne,BE,Intermarché - Wanty,198.0,https://www.procyclingstats.com/rider/arne-marit
