fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_nationality,pcs_team,pcs_url,points_per_credit,value_category
J. OTRUBA,Caja Rural-Seguros RGA,Climbers,10,True,1.1,OTRUBA Jakub,633.0,54.0,CZ,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/jakub-otruba,5.4,Poor
A. MOLENAAR,Caja Rural-Seguros RGA,All-rounders,10,True,1.1,MOLENAAR Alex,278.0,181.0,NL,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/alex-molenaar,18.1,Average
M. APARICIO MUÑOZ,Burgos-BH,Climbers,10,True,1.0,APARICIO Mario,531.0,72.0,ES,Burgos Burpellet BH,https://www.procyclingstats.com/rider/mario-aparicio-munoz,7.2,Poor
J. BIERMANS,Arkea-B&B Hotels Woman,Sprinters,10,True,1.0,BIERMANS Jenthe,202.0,238.0,BE,Arkéa - B&B Hotels,https://www.procyclingstats.com/rider/jenthe-biermans,23.8,Good
G. LEEMREIZE,Team Picnic PostNL,Climbers,10,True,1.1,LEEMREIZE Gijs,587.0,60.0,NL,Team Picnic PostNL,https://www.procyclingstats.com/rider/gijs-leemreize,6.0,Poor
J. DE BUYST,Lotto,All-rounders,10,True,1.0,DE BUYST Jasper,933.0,28.0,BE,Lotto,https://www.procyclingstats.com/rider/jasper-de-buyst,2.8,Poor
D. SMITH,Intermarché - Wanty,All-rounders,10,True,1.1,SMITH Dion,391.0,112.0,NZ,Intermarché - Wanty,https://www.procyclingstats.com/rider/dion-smith,11.2,Average
D. NOVAK,UAE Team Emirates XRG,All-rounders,10,True,1.0,NOVAK Domen,1384.0,10.0,SI,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/domen-novak,1.0,Poor
S. BAX,Q36.5 Pro Cycling Team,All-rounders,10,True,1.1,BAX Sjoerd,834.0,35.0,NL,Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/sjoerd-bax,3.5,Poor
L. HAMILTON,Ineos Grenadiers,Climbers,10,True,1.1,HAMILTON Lucas,654.0,50.0,AU,INEOS Grenadiers,https://www.procyclingstats.com/rider/lucas-hamilton,5.0,Poor
C. PEDERSEN,Soudal Quick-Step,All-rounders,10,True,1.1,PEDERSEN Casper,304.0,161.0,DK,Soudal Quick-Step,https://www.procyclingstats.com/rider/casper-pedersen,16.1,Average
